	Data	shape	TL	piA	piC	piG	piT	ntaxa	nsites	rAC	rAG	rAT	rCG	rCT	rGT
	0	12.208153	0.939496	0.257465	0.292104	0.222397	0.228034	14	4042	0.171852	0.154438	0.158471	0.148422	0.191197	0.175621
	1	8.051551	1.601636	0.228604	0.233758	0.259781	0.277858	18	4742	0.137469	0.185742	0.155493	0.191662	0.168538	0.161096
	2	3.033167	1.030246	0.214759	0.256630	0.249387	0.279224	10	1600	0.185793	0.159781	0.169441	0.164508	0.148659	0.171818
	3	3.407468	1.751624	0.262815	0.238715	0.259997	0.238473	19	2448	0.164674	0.155046	0.174204	0.169348	0.187855	0.148873
	4	4.982303	1.053224	0.225679	0.256156	0.264947	0.253219	9	2414	0.164770	0.174257	0.186340	0.163061	0.164957	0.146614
	5	3.449903	0.416353	0.250324	0.261400	0.219802	0.268473	5	1078	0.177149	0.149857	0.153570	0.163719	0.162897	0.192808
	6	12.709912	0.605904	0.252139	0.276252	0.217536	0.254073	9	774	0.168356	0.189327	0.154438	0.154373	0.171082	0.162424
	7	6.243214	0.625918	0.301040	0.273725	0.199628	0.225607	9	4304	0.140497	0.194462	0.161348	0.158285	0.171260	0.174148
	8	1.443651	0.823866	0.277840	0.269476	0.220023	0.232660	9	980	0.160040	0.157891	0.177244	0.168461	0.151475	0.184889
	9	12.305578	0.213505	0.259955	0.267908	0.243743	0.228394	6	1756	0.175774	0.164038	0.165069	0.167119	0.152282	0.175717
	10	4.065411	0.910389	0.265284	0.227717	0.240268	0.266732	9	1884	0.135343	0.180633	0.166956	0.159645	0.156675	0.200748
	11	1.468647	0.560827	0.276966	0.244550	0.202172	0.276312	6	1944	0.164024	0.165464	0.149852	0.153761	0.172959	0.193941
	12	9.389411	1.099299	0.268569	0.255885	0.237793	0.237753	9	1684	0.195968	0.165358	0.172596	0.172416	0.132828	0.160834
	13	3.238317	2.167717	0.242851	0.240356	0.255954	0.260839	19	2890	0.154804	0.196484	0.161944	0.151888	0.160160	0.174721
	14	12.497504	0.718198	0.246034	0.256016	0.247971	0.249979	8	3882	0.169648	0.164007	0.183369	0.177773	0.177392	0.127811
	15	2.980908	1.380120	0.243494	0.236172	0.230193	0.290141	15	1042	0.181206	0.172691	0.158172	0.154821	0.172524	0.160586
	16	3.269509	1.413310	0.277465	0.220218	0.243841	0.258476	10	3140	0.176596	0.169412	0.157201	0.162390	0.171658	0.162743
	17	2.495032	1.842098	0.234767	0.232380	0.263380	0.269472	19	1334	0.152407	0.186346	0.151581	0.157955	0.191631	0.160080
	18	0.373560	1.014791	0.245487	0.264854	0.232552	0.257107	7	3630	0.158624	0.158369	0.158938	0.200941	0.170925	0.152203
	19	14.644286	1.921375	0.255103	0.246780	0.269399	0.228718	18	1326	0.159897	0.149042	0.150220	0.171127	0.196064	0.173651
	20	7.289639	1.978381	0.251374	0.225977	0.235572	0.287077	17	2638	0.174534	0.151756	0.163782	0.168496	0.169553	0.171880
	21	4.279664	3.020152	0.223666	0.253908	0.262020	0.260406	19	4670	0.156652	0.175043	0.168587	0.149237	0.189542	0.160939
	22	2.148933	1.185355	0.268735	0.246728	0.237238	0.247299	11	2822	0.149003	0.158214	0.175711	0.180974	0.182032	0.154066
	23	1.021686	1.281812	0.276654	0.217204	0.277215	0.228927	13	240	0.169529	0.169979	0.167247	0.151531	0.176037	0.165677
	24	6.205865	0.369152	0.290275	0.232000	0.237840	0.239885	5	3234	0.153432	0.164552	0.154596	0.172932	0.178618	0.175870
	25	8.902400	0.231609	0.248962	0.244956	0.247073	0.259009	4	1082	0.164781	0.168874	0.193286	0.161311	0.168884	0.142863
	26	0.946982	0.708524	0.221484	0.233473	0.262614	0.282428	13	4506	0.166604	0.158892	0.174769	0.187988	0.151394	0.160352
	27	10.597404	2.150124	0.231529	0.243080	0.254332	0.271058	16	4610	0.172915	0.167276	0.174291	0.179787	0.153628	0.152104
	28	0.493892	1.440426	0.270684	0.249951	0.238339	0.241026	14	1312	0.176075	0.167509	0.160830	0.145751	0.186305	0.163530
	29	10.085334	1.905921	0.224455	0.249541	0.288722	0.237282	14	4280	0.140652	0.167758	0.173063	0.176328	0.172989	0.169211
	30	9.157653	0.273555	0.243390	0.233562	0.232198	0.290850	6	256	0.187779	0.123676	0.151965	0.167188	0.196808	0.172585
	31	14.189619	1.258183	0.259097	0.229022	0.277440	0.234441	8	596	0.191385	0.163106	0.147109	0.157038	0.169889	0.171472
	32	10.371537	0.463125	0.255447	0.233498	0.274252	0.236803	9	1000	0.168136	0.183576	0.153930	0.165769	0.169950	0.158638
	33	7.249607	0.570428	0.237145	0.249579	0.239596	0.273680	8	4462	0.138448	0.165113	0.181431	0.173996	0.167175	0.173837
	34	4.837452	0.776023	0.263934	0.254545	0.246561	0.234960	10	252	0.169234	0.157261	0.185531	0.163892	0.161291	0.162791
	35	5.226455	1.171700	0.241323	0.214121	0.290157	0.254399	14	3114	0.143660	0.156784	0.180226	0.165535	0.189980	0.163815
	36	4.926738	1.232946	0.262878	0.247245	0.274737	0.215140	14	986	0.170253	0.173730	0.136112	0.194795	0.151319	0.173790
	37	11.116715	2.876508	0.244002	0.254205	0.253548	0.248244	20	3738	0.196795	0.149087	0.147593	0.167972	0.157527	0.181025
	38	0.769277	1.119962	0.227737	0.260280	0.255109	0.256874	15	2158	0.178366	0.148540	0.143873	0.189374	0.158878	0.180968
	39	0.552157	1.854693	0.302804	0.197694	0.235094	0.264408	19	2846	0.168101	0.174734	0.163507	0.171229	0.153652	0.168778
	40	7.201962	0.355195	0.255880	0.244451	0.243703	0.255966	4	286	0.170374	0.147336	0.167049	0.193441	0.163187	0.158614
	41	10.735950	0.857590	0.242073	0.269123	0.258859	0.229945	7	360	0.176336	0.166053	0.175203	0.146683	0.146847	0.188878
	42	2.194260	1.100832	0.259110	0.261561	0.224580	0.254750	12	3408	0.158907	0.192390	0.183181	0.156164	0.169833	0.139525
	43	3.119928	1.090244	0.265004	0.235537	0.224776	0.274683	8	3002	0.133974	0.147710	0.185078	0.180855	0.182607	0.169776
